Participant,Block,Trial,reaction time,response
e001,1,1,1.100715931,l
e001,1,2,0.740111439,j
e001,1,3,0.573494424,l
e001,1,4,0.872829995,l
e001,1,5,0.485086876,l
e001,1,6,0.622875588,j
e001,1,7,0.367861597,l
e001,1,8,0.586825674,l
e001,1,9,0.868025656,j
e001,1,10,0.868025656,j
e001,2,1,0.701623485,l
e001,2,2,0.600994397,l
e001,2,3,0.901084375,l
e001,2,4,0.817473991,l
e001,2,5,0.517455377,l
e001,2,6,0.600896604,l
e001,2,7,0.70068142,l
e001,2,8,0.734383159,j
e001,2,9,0.634543216,j
e001,2,10,0.750579115,l
e001,3,1,0.851209335,l
e001,3,2,0.870069879,j
e001,3,3,0.751343338,l
e001,3,4,0.634170544,l
e001,3,5,0.537303295,l
e001,3,6,0.634377835,l
e001,3,7,0.634377835,l
e001,3,8,0.617976476,j
e001,3,9,0.56806179,l
e001,3,10,1.017206362,j
e002,1,1,0.553048041,l
e002,1,2,1.017461229,l
e002,1,3,0.718231381,l
e002,1,4,0.635444501,l
e002,1,5,0.534133503,l
e002,1,6,0.567530534,l
e002,1,7,0.783894588,j
e002,1,8,1.000721935,j
e002,1,9,0.667932695,l
e002,1,10,1.235087536,l
e002,2,1,1.084109168,j
e002,2,2,1.084109168,j
e002,2,3,0.68880348,l
e002,2,4,0.85076379,l
e002,2,5,0.767524191,j
e002,2,6,0.435086102,l
e002,2,7,0.822451263,l
e002,2,8,0.717467912,j
e002,2,9,0.507026969,l
e002,2,10,0.800896679,j
e002,3,1,0.468055711,l
e002,3,2,0.734409212,j
e002,3,3,0.934326975,j
e002,3,4,0.734224198,l
e002,3,5,0.734224198,l
e002,3,6,0.550812384,l
e002,3,7,0.867853857,j
e002,3,8,0.967438178,l
e002,3,9,0.834630135,l
e002,3,10,0.617491662,l
e003,1,1,0.823567014,j
e003,1,2,0.873227966,l
e003,1,3,0.906270448,l
e003,1,4,0.706374963,l
e003,1,5,0.806327048,l
e003,1,6,0.906202106,l
e003,1,7,0.806563791,j
e003,1,8,0.73944954,j
e003,1,9,0.79282702,l
e003,1,10,0.92408094,l
e003,2,1,0.756136728,j
e003,2,2,0.501573191,l
e003,2,3,0.652117719,l
e003,2,4,0.685113759,j
e003,2,5,0.785503838,l
e003,2,6,0.850749819,j
e003,2,7,0.719020903,l
e003,2,8,0.684145264,l
e003,2,9,0.485028728,l
e003,2,10,0.901217283,j
e003,3,1,1.485561495,l
e003,3,2,0.651575891,l
e003,3,3,1.00128151,l
e003,3,4,0.834923893,j
e003,3,5,0.767885158,j
e003,3,6,1.050433859,l
e003,3,7,0.667777132,l
e003,3,8,0.667441463,l
e003,3,9,1.217194355,l
e003,3,10,0.78396142,l
